state,jurisdiction_type,name,fips_code,rate
AL,city,Unabated Vestavia Hills,,0.00075
AL,city,Unabated Westover,,0.01
AL,city,Union,,0.01
AL,city,Union Grove,,0.01
AL,city,Union Springs,,0.035
AL,city,Uniontown,,0.03
AL,city,Valley,,0.05
AL,city,Valley Grande,,0.03
AL,city,Valley Head,,0.04
AL,city,Vance,,0.03
AL,city,Vernon,,0.04
AL,city,Vestavia Hills,,0.04
AL,city,Vina,,0.02
AL,city,Vincent,,0.04
AL,city,Wadley,,0.03
AL,city,Waldo,,0.01
AL,city,Walnut Grove,,0.03
AL,city,Warrior,,0.04
AL,city,Waterloo,,0.025
AL,city,Waverly,,0.02
AL,city,Weaver,,0.05
AL,city,Webb,,0.03
AL,city,Wedowee,,0.035
AL,city,West Blocton,,0.02
AL,city,West Jefferson,,0.04
AL,city,Westover,,0.05
AL,city,Westover Sales & Use,,0.05
AL,city,Wetumpka,,0.04
AL,city,White Hall,,0.02
AL,city,Wilsonville,,0.03
AL,city,Wilton,,0.03
AL,city,Winfield,,0.05
AL,city,Woodland,,0.03
AL,city,Woodstock,,0.02
AL,city,Woodville,,0.03
AL,city,Yellow Bluff,,0.015
AL,city,York,,0.04
AL,county,Autauga County,001,0.02
AL,county,Baldwin County,003,0.03
AL,county,Barbour County,005,0.015
AL,county,Bibb County,007,0.04
AL,county,Blount County,009,0.03
AL,county,Bullock County,011,0.025
AL,county,Butler County,013,0.015
AL,county,Cherokee County,019,0.035
AL,county,Choctaw County,023,0.03
AL,county,Clarke County,025,0.01
AL,county,Clay County,027,0.02
AL,county,Cleburne County,029,0.02
AL,county,Coffee County,031,0.01
AL,county,Colbert County,033,0.015
AL,county,Conecuh County,035,0.02
AL,county,Coosa County,037,0.02
AL,county,Covington County,039,0.025
AL,county,Crenshaw County,041,0.035
AL,county,Cullman County,043,0.045
AL,county,Dale County,045,0.02
AL,county,Dallas County,047,0.015
AL,county,Dekalb County,049,0.01
AL,county,Elmore County,051,0.01
AL,county,Escambia County,053,0.02
AL,county,Etowah County,055,0.01
AL,county,Fayette County,057,0.02
AL,county,Franklin County,059,0.02
AL,county,Geneva County,061,0.02
AL,county,Greene County,063,0.03
AL,county,Hale County,065,0.03
AL,county,Henry County,067,0.02
AL,county,Houston County,069,0.01
AL,county,Jackson County,071,0.02
AL,county,Jefferson County,073,0.02
AL,county,Lamar County,075,0.02
AL,county,Lauderdale County,077,0.015
AL,county,Lawrence County,079,0.03
AL,county,Lee County,081,0.04
AL,county,Limestone County,083,0.02
AL,county,Lowndes County,085,0.04
AL,county,Macon County,087,0.025
AL,county,Marengo County,091,0.03
AL,county,Marion County,093,0.02
AL,county,Mobile County,097,0.015
AL,county,Monroe County,099,0.035
AL,county,Montgomery County,101,0.025
AL,county,Perry County,105,0.03
AL,county,Pickens County,107,0.04
AL,county,Randolph County,111,0.025
AL,county,Russell County,113,0.04
AL,county,Shelby County,115,0.01
AL,county,St Clair County,117,0.02
AL,county,Sumter County,119,0.04
AL,county,Talladega County,121,0.03
AL,county,Tallapoosa County,123,0.02
AL,county,Tuscaloosa County,125,0.06
AL,county,Unabated Calhoun County,015,0.01
AL,county,Unabated Chambers County,017,0.01
AL,county,Unabated Chilton County,021,0.01
AL,county,Unabated Morgan County,103,0.03
AL,county,Unabated Pike County,109,0.0175
AL,county,Walker County,127,0.02
AL,county,Washington County,129,0.01
AL,county,Wilcox County,131,0.045
AL,county,Winston County,133,0.02
AR,city,Alexander,00580,0.03
AR,city,Alma,00970,0.02
AR,city,Almyra,01030,0.01
AR,city,Alpena,01060,0.01
AR,city,Altheimer,01150,0.01
AR,city,Altus,01210,0.01
AR,city,Amity,01360,0.015
AR,city,Anthonyville,01457,0.02
AR,city,Arkadelphia,01870,0.02
AR,city,Arkansas City,01990,0.02
AR,city,Ash Flat,02470,0.01375
AR,city,Ashdown,02380,0.02
AR,city,Atkins,02590,0.02
AR,city,Augusta,02740,0.01
AR,city,Austin,02860,0.02
AR,city,Avoca,03040,0.01
AR,city,Bald Knob,03280,0.015
AR,city,Banks,03430,0.01
AR,city,Barling,03640,0.02
AR,city,Batesville,04030,0.02
AR,city,Bauxite,04090,0.015
AR,city,Bay,04180,0.02
AR,city,Bearden,04420,0.01
AR,city,Beebe,04600,0.0125
AR,city,Beedeville,04720,0.005
AR,city,Bella Vista,04840,0.02
AR,city,Belleville,04960,0.01
AR,city,Benton,05290,0.025
AR,city,Bentonville,05320,0.02
AR,city,Berryville,05560,0.02
AR,city,Big Flat,05980,0.01
AR,city,Black Rock,06700,0.01
AR,city,Blevins,07030,0.015
AR,city,Blue Mountain,07210,0.01
AR,city,Blytheville,07330,0.015
AR,city,Bonanza,07540,0.01
AR,city,Bono,07630,0.01
AR,city,Booneville,07720,0.02
AR,city,Bradford,08260,0.02
AR,city,Bradley,08290,0.01
AR,city,Branch,08440,0.01
AR,city,Briarcliff,08665,0.01
AR,city,Brinkley,08950,0.03
AR,city,Brookland,09100,0.03
AR,city,Bryant,09460,0.03
AR,city,Bull Shoals,09790,0.02
AR,city,Cabot,10300,0.02
AR,city,Caddo Valley,10360,0.02
AR,city,Calico Rock,10570,0.03
AR,city,Camden,10720,0.0175
AR,city,Caraway,11410,0.01
AR,city,Carlisle,11500,0.02125
AR,city,Carthage,11830,0.015
AR,city,Cash,11920,0.01
AR,city,Cave City,12280,0.01
AR,city,Cave Springs,12340,0.0225
AR,city,Cedarville,12520,0.01
AR,city,Centerton,12820,0.02
AR,city,Charleston,13300,0.015
AR,city,Cherokee Village,13450,0.01
AR,city,Cherry Valley,13540,0.01
AR,city,Chidester,13750,0.02
AR,city,City 05740,05740,0.025
AR,city,Clarendon,13990,0.04
AR,city,Clarksville,14140,0.02
AR,city,Clinton,14260,0.01
AR,city,Coal Hill,14500,0.01
AR,city,Colt,14950,0.01
AR,city,Concord,15100,0.01
AR,city,Conway,15190,0.02125
AR,city,Corning,15460,0.0175
AR,city,Cotter,15490,0.02
AR,city,Cotton Plant,15550,0.01
AR,city,Cove,15700,0.02
AR,city,Crawfordsville,15940,0.02
AR,city,Crossett,16240,0.0175
AR,city,Cushman,16930,0.01
AR,city,Damascus,17290,0.01
AR,city,Danville,17320,0.015
AR,city,Dardanelle,17380,0.02
AR,city,De Queen,18490,0.01
AR,city,De Valls Bluff,18640,0.03
AR,city,DeWitt,18790,0.035
AR,city,Decatur,17740,0.02
AR,city,Delight,18100,0.01
AR,city,Dermott,18520,0.04
AR,city,Des Arc,18550,0.03
AR,city,Diamond City,18850,0.01
AR,city,Diaz,18940,0.01
AR,city,Dierks,18970,0.01
AR,city,Dover,19600,0.02
AR,city,Dumas,19990,0.03
AR,city,Dyer,20200,0.01
AR,city,Earle,20320,0.02
AR,city,East Camden,20440,0.01
AR,city,El Dorado,21070,0.0125
AR,city,Elkins,21190,0.0275
AR,city,Elm Springs,21430,0.01
AR,city,Emerson,21580,0.01
AR,city,England,21730,0.03
AR,city,Etowah,22120,0.01
AR,city,Eudora,22180,0.02
AR,city,Eureka Springs,22240,0.02375
AR,city,Evening Shade,22360,0.01
AR,city,Fairfield Bay,22660,0.015
AR,city,Farmington,23170,0.02
AR,city,Fayetteville,23290,0.02
AR,city,Flippin,24010,0.015
AR,city,Fordyce,24220,0.015
AR,city,Foreman,24250,0.01
AR,city,Forrest City,24430,0.01875
AR,city,Fort Smith,24550,0.02
AR,city,Fouke,24640,0.01
AR,city,Fountain Hill,24670,0.01
AR,city,Franklin,25030,0.01
AR,city,Garfield,25750,0.015
AR,city,Garland,25780,0.01
AR,city,Gassville,26050,0.015
AR,city,Gentry,26290,0.02
AR,city,Gilbert,26800,0.01
AR,city,Gillett,26980,0.03
AR,city,Gillham,27010,0.03
AR,city,Gilmore,27040,0.01
AR,city,Glenwood,27310,0.015
AR,city,Goshen,27670,0.02
AR,city,Gosnell,27700,0.015
AR,city,Gould,27730,0.03
AR,city,Grady,27790,0.01
AR,city,Grannis,27970,0.01
AR,city,Gravette,28360,0.02
AR,city,Green Forest,28600,0.0225
AR,city,Greenbrier,28510,0.025
AR,city,Greenland,28660,0.045
AR,city,Greenwood,28780,0.02
AR,city,Greers Ferry,28810,0.01
AR,city,Guion,29080,0.01
AR,city,Gum Springs,29140,0.01
AR,city,Gurdon,29200,0.015
AR,city,Guy,29230,0.015
AR,city,Hackett,29290,0.01
AR,city,Hamburg,29500,0.03
AR,city,Hampton,29650,0.005
AR,city,Hardy,29920,0.01
AR,city,Harrisburg,30400,0.02
AR,city,Harrison,30460,0.0175
AR,city,Hartford,30490,0.02
AR,city,Haskell,30640,0.02
AR,city,Hatfield,30700,0.01
AR,city,Havana,30790,0.01
AR,city,Hazen,30940,0.03
AR,city,Heber Springs,31090,0.01
AR,city,Hector,31150,0.015
AR,city,Helena-West Helena,31190,0.02
AR,city,Hermitage,31540,0.02
AR,city,Hickory Ridge,31900,0.01
AR,city,Higginson,32140,0.01
AR,city,Highfill,32200,0.02
AR,city,Highland,32257,0.015
AR,city,Holly Grove,32800,0.03
AR,city,Hope,33190,0.02
AR,city,Horatio,33310,0.01
AR,city,Horseshoe Bend,33370,0.02
AR,city,Hot Springs,33400,0.015
AR,city,Hoxie,33580,0.01
AR,city,Hughes,33760,0.01
AR,city,Humnoke,33820,0.015
AR,city,Humphrey,33850,0.01
AR,city,Huntington,33940,0.015
AR,city,Huntsville,33970,0.01
AR,city,Imboden,34150,0.01
AR,city,Jacksonville,34750,0.02
AR,city,Jasper,34900,0.02
AR,city,Jennette,35040,0.01
AR,city,Johnson,35500,0.03
AR,city,Joiner,35650,0.0125
AR,city,Jonesboro,35710,0.01
AR,city,Judsonia,36040,0.01
AR,city,Junction City,36130,0.01
AR,city,Keiser,36310,0.02
AR,city,Kensett,36430,0.01
AR,city,Keo,36550,0.01
AR,city,Kibler,36670,0.01
AR,city,Kingsland,36880,0.01
AR,city,Lake City,37780,0.02
AR,city,Lake Village,38170,0.02
AR,city,Lakeview,38050,0.01
AR,city,Lamar,38290,0.02
AR,city,Leachville,39010,0.01
AR,city,Lead Hill,39040,0.01
AR,city,Lepanto,39370,0.015
AR,city,Leslie,39460,0.01
AR,city,Lewisville,39640,0.01
AR,city,Lincoln,39970,0.03
AR,city,Little Flock,40120,0.01
AR,city,Little Rock,41000,0.01125
AR,city,Lockesburg,41090,0.0075
AR,city,London,41270,0.01
AR,city,Lonoke,41420,0.03
AR,city,Lowell,41720,0.02
AR,city,Luxora,42170,0.01
AR,city,Madison,43280,0.01
AR,city,Magazine,43310,0.02
